text,label
"yeh app ka level bilkul bekaar tha, sudhaar ki zarurat hai.",negative
"Bro exam paper is useless, not worth it at all.",negative
"training session ne expectations cross kar diye, ekdum kamaal!",positive
Presentation ka duration 10 minute ka hai.,neutral
"Itna kamaal internship experience maine pehle nahi dekha, hats off!",positive
Internship experience ka link description mein hai.,neutral
"presentation ka content full ekdum sahi tha, mast laga!",positive
"Yaar uska gaana bilkul bekar tha, time hi waste hua.",negative
"Bro uska gaana is absolutely superb, loved it!",positive
Yeh trailer ka second part bhi available hai.,neutral
"Yaar yeh vlog bilkul ganda tha, time hi waste hua.",negative
College ka event ke baare mein notification aaya.,neutral
Lecture office ke system pe save hai.,neutral
"What a awful college ka event, complete waste of time.",negative
"yeh assignment dekh ke mood off ho gaya, bakwaas experience.",negative
Lecture 3 baje start hoga.,neutral
Yeh tutorial ka format change hua hai.,neutral
Hostel ka room group mein share kiya gaya.,neutral
Tumhara channel next week schedule hai.,neutral
"lecture bohot time waste laga mujhe, na dekho bekar mein.",negative
Tera reel ka second part bhi available hai.,neutral
"Yaar yeh app zabardast hai, dil khush ho gaya!",positive
"yeh vlog bohot time waste laga mujhe, na dekho bekar mein.",negative
"yeh video itna third class nikla, expect nahi kiya tha.",negative
Woh episode office ke system pe save hai.,neutral
"What a pathetic is product ka review, complete waste of time.",negative
Internship experience aaj subah upload hua.,neutral
"is content se bilkul bhi satisfied nahi hoon, time waste tha.",negative
"team ka performance bohot third class laga mujhe, na dekho bekar mein.",negative
"exam paper itna third class nikla, expect nahi kiya tha.",negative
Naya update 3 baje start hoga.,neutral
Is content ka duration 10 minute ka hai.,neutral
"Yaar woh episode bilkul faltu tha, time hi waste hua.",negative
"Honestly kal ka match was top notch, highly recommend.",positive
"What a boring tera reel, complete waste of time.",negative
"tera reel ka content full ekdum sahi tha, mast laga!",positive
"Itna badhiya interview maine pehle nahi dekha, hats off!",positive
"yeh app se bilkul bhi satisfied nahi hoon, faltu tha.",negative
Is product ka review abhi process ho raha hai.,neutral
Lecture ka format change hua hai.,neutral
"Itna bohot accha yeh class maine pehle nahi dekha, hats off!",positive
"Bro yeh class is absolutely perfect, loved it!",positive
"naya update itna bilkul bekaar nikla, expect nahi kiya tha.",negative
"Yaar training session kamaal hai, dil khush ho gaya!",positive
Naya song office ke system pe save hai.,neutral
"Frankly tumhara channel was useless, would not recommend.",negative
"yeh app ne expectations cross kar diye, ekdum ekdum sahi!",positive
"yeh assignment bohot bekar laga mujhe, na dekho bekar mein.",negative
"Thoroughly enjoyed college ka event, incredible effort by everyone.",positive
"kal ka match se bilkul bhi satisfied nahi hoon, bekar tha.",negative
"Yaar college ka event bilkul ganda tha, time hi waste hua.",negative
"yeh movie bohot ekdum sahi nikla, sabko bata diya maine.",positive
Presentation ka format change hua hai.,neutral
"Bro naya update is pathetic, not worth it at all.",negative
Yeh series ka format change hua hai.,neutral
"yeh assignment bohot mast nikla, sabko bata diya maine.",positive
Naya project kal release hua tha.,neutral
"yeh trailer dekh ke mood off ho gaya, time waste experience.",negative
"Yaar tera reel ekdum sahi hai, dil khush ho gaya!",positive
Training session office ke system pe save hai.,neutral
Internship experience group mein share kiya gaya.,neutral
"Itna kamaal tumhara channel maine pehle nahi dekha, hats off!",positive
"yeh app se bilkul bhi satisfied nahi hoon, bilkul bekaar tha.",negative
"tumhara channel bohot badhiya nikla, sabko bata diya maine.",positive
Uska gaana ka second part bhi available hai.,neutral
"exam paper dekh ke bohot khushi hui, total bohot accha!",positive
Yeh assignment 3 baje start hoga.,neutral
Exam paper 3 baje start hoga.,neutral
Naya project next week schedule hai.,neutral
Is restaurant ka khana aaj subah upload hua.,neutral
Kal ka match aaj subah upload hua.,neutral
Yeh assignment kal release hua tha.,neutral
Is product ka review aaj subah upload hua.,neutral
Yeh app next week schedule hai.,neutral
"yeh assignment bohot next level nikla, sabko bata diya maine.",positive
"yeh vlog ka content full ekdum sahi tha, mast laga!",positive
"is content ka content full full paisa vasool tha, mast laga!",positive
"Honestly yeh app was underwhelming, very disappointed.",negative
Uska gaana ka format change hua hai.,neutral
"yeh app ne expectations cross kar diye, ekdum mast!",positive
"Honestly naya song was top notch, highly recommend.",positive
Naya project ka duration 10 minute ka hai.,neutral
"lecture se bilkul bhi satisfied nahi hoon, ganda tha.",negative
"Itna bohot accha exam paper maine pehle nahi dekha, hats off!",positive
Is content ke baare mein notification aaya.,neutral
"Yaar yeh trailer next level hai, dil khush ho gaya!",positive
"yeh trailer bohot zabardast nikla, sabko bata diya maine.",positive
Naya project abhi process ho raha hai.,neutral
Naya project ka format change hua hai.,neutral
"Bro yeh vlog is absolutely incredible, loved it!",positive
Naya update ka duration 10 minute ka hai.,neutral
"Yaar tera reel bilkul ganda tha, time hi waste hua.",negative
Yeh vlog next week schedule hai.,neutral
Internship experience office ke system pe save hai.,neutral
"What a useless naya song, complete waste of time.",negative
Tumhara channel abhi process ho raha hai.,neutral
"team ka performance bohot ekdum bura laga mujhe, na dekho bekar mein.",negative
"Bro yeh vlog is useless, not worth it at all.",negative
College ka event office ke system pe save hai.,neutral
"What a useless tera reel, complete waste of time.",negative
Yeh series ka link description mein hai.,neutral
"Frankly yeh app was awful, would not recommend.",negative
"yeh tutorial bohot ganda laga mujhe, na dekho bekar mein.",negative
"exam paper ka content full badhiya tha, mast laga!",positive
"Honestly hostel ka room was boring, very disappointed.",negative
Is restaurant ka khana next week schedule hai.,neutral
"woh episode bohot bakwaas laga mujhe, na dekho bekar mein.",negative
"What a perfect uska gaana, proud feeling aa raha hai.",positive
"Thoroughly enjoyed yeh tutorial, brilliant effort by everyone.",positive
Is product ka review ka second part bhi available hai.,neutral
"Thoroughly enjoyed is restaurant ka khana, awesome effort by everyone.",positive
"naya project ka level time waste tha, sudhaar ki zarurat hai.",negative
"woh episode ka content full full paisa vasool tha, mast laga!",positive
"Yaar yeh phone zabardast hai, dil khush ho gaya!",positive
"Honestly kal ka match was boring, very disappointed.",negative
Yeh assignment office ke system pe save hai.,neutral
"tera reel bohot dhamakedaar nikla, sabko bata diya maine.",positive
"presentation dekh ke bohot khushi hui, total next level!",positive
"naya update dekh ke bohot khushi hui, total kamaal!",positive
"Frankly yeh class was useless, would not recommend.",negative
Tera reel ka format change hua hai.,neutral
"Yaar naya project zabardast hai, dil khush ho gaya!",positive
"tera reel ka level ekdum bura tha, sudhaar ki zarurat hai.",negative
"tumhara channel dekh ke mood off ho gaya, ganda experience.",negative
Is restaurant ka khana ka second part bhi available hai.,neutral
Exam paper ke baare mein notification aaya.,neutral
"Yaar yeh app bohot accha hai, dil khush ho gaya!",positive
"Honestly yeh movie was outstanding, highly recommend.",positive
"Yaar presentation dhamakedaar hai, dil khush ho gaya!",positive
Exam paper next week schedule hai.,neutral
"lecture ka content full ekdum sahi tha, mast laga!",positive
"internship experience dekh ke bohot khushi hui, total badhiya!",positive
"yeh assignment ka level ekdum bura tha, sudhaar ki zarurat hai.",negative
"naya update ka level faltu tha, sudhaar ki zarurat hai.",negative
"What a awful yeh tutorial, complete waste of time.",negative
"yeh series bohot full paisa vasool nikla, sabko bata diya maine.",positive
"Bro is restaurant ka khana is pathetic, not worth it at all.",negative
"uska gaana se bilkul bhi satisfied nahi hoon, bekar tha.",negative
"yeh series dekh ke bohot khushi hui, total next level!",positive
Yeh vlog group mein share kiya gaya.,neutral
"yeh movie ne expectations cross kar diye, ekdum bohot accha!",positive
"uska gaana dekh ke mood off ho gaya, ekdum bura experience.",negative
"naya update dekh ke bohot khushi hui, total ekdum sahi!",positive
Yeh series aaj subah upload hua.,neutral
Training session aaj subah upload hua.,neutral
"team ka performance ne expectations cross kar diye, ekdum kamaal!",positive
"Honestly exam paper was amazing, highly recommend.",positive
Yeh phone office ke system pe save hai.,neutral
Hostel ka room ke baare mein notification aaya.,neutral
"Frankly yeh assignment was underwhelming, would not recommend.",negative
"Thoroughly enjoyed yeh series, awesome effort by everyone.",positive
"naya update bohot badhiya nikla, sabko bata diya maine.",positive
"is content dekh ke bohot khushi hui, total kamaal!",positive
"uska gaana se bilkul bhi satisfied nahi hoon, third class tha.",negative
"naya project dekh ke bohot khushi hui, total zabardast!",positive
"interview bohot ekdum sahi nikla, sabko bata diya maine.",positive
"Thoroughly enjoyed is content, awesome effort by everyone.",positive
Is product ka review ka duration 10 minute ka hai.,neutral
"is product ka review bohot zabardast nikla, sabko bata diya maine.",positive
"Frankly yeh app was terrible, would not recommend.",negative
College ka event 3 baje start hoga.,neutral
Yeh movie ka format change hua hai.,neutral
Yeh assignment ka link description mein hai.,neutral
Is restaurant ka khana ke baare mein notification aaya.,neutral
"Frankly training session was terrible, would not recommend.",negative
"Frankly is restaurant ka khana was useless, would not recommend.",negative
"exam paper se bilkul bhi satisfied nahi hoon, third class tha.",negative
"training session bohot bakwaas laga mujhe, na dekho bekar mein.",negative
Yeh tutorial kal release hua tha.,neutral
College ka event ka format change hua hai.,neutral
"Itna bohot accha is product ka review maine pehle nahi dekha, hats off!",positive
"Honestly internship experience was awesome, highly recommend.",positive
"Frankly yeh tutorial was frustrating, would not recommend.",negative
Team ka performance aaj subah upload hua.,neutral
"Yaar yeh video bilkul ekdum bura tha, time hi waste hua.",negative
"Honestly team ka performance was fantastic, highly recommend.",positive
"yeh phone se bilkul bhi satisfied nahi hoon, bilkul bekaar tha.",negative
Presentation ka link description mein hai.,neutral
"Thoroughly enjoyed team ka performance, incredible effort by everyone.",positive
"naya song ne expectations cross kar diye, ekdum badhiya!",positive
"is product ka review bohot bakwaas laga mujhe, na dekho bekar mein.",negative
"woh episode bohot bilkul bekaar laga mujhe, na dekho bekar mein.",negative
"Itna zabardast is product ka review maine pehle nahi dekha, hats off!",positive
"yeh class ka content full mast tha, mast laga!",positive
"yeh series bohot bilkul bekaar laga mujhe, na dekho bekar mein.",negative
"team ka performance dekh ke bohot khushi hui, total mast!",positive
"internship experience se bilkul bhi satisfied nahi hoon, bekar tha.",negative
"yeh trailer bohot third class laga mujhe, na dekho bekar mein.",negative
"presentation dekh ke bohot khushi hui, total bohot accha!",positive
"Thoroughly enjoyed naya song, awesome effort by everyone.",positive
"hostel ka room bohot zabardast nikla, sabko bata diya maine.",positive
"Yaar uska gaana zabardast hai, dil khush ho gaya!",positive
"Yaar yeh trailer bohot accha hai, dil khush ho gaya!",positive
"yeh app ka level faltu tha, sudhaar ki zarurat hai.",negative
Naya song ka duration 10 minute ka hai.,neutral
"tera reel se bilkul bhi satisfied nahi hoon, ganda tha.",negative
"Bro yeh app is absolutely brilliant, loved it!",positive
"Itna bohot accha is restaurant ka khana maine pehle nahi dekha, hats off!",positive
"Bro presentation is absolutely fantastic, loved it!",positive
"Honestly team ka performance was boring, very disappointed.",negative
Yeh phone kal release hua tha.,neutral
"Bro hostel ka room is horrible, not worth it at all.",negative
"team ka performance ne expectations cross kar diye, ekdum dhamakedaar!",positive
"Honestly yeh tutorial was pathetic, very disappointed.",negative
"Yaar presentation bilkul ganda tha, time hi waste hua.",negative
Yeh vlog office ke system pe save hai.,neutral
Tera reel aaj subah upload hua.,neutral
"woh episode ka level ganda tha, sudhaar ki zarurat hai.",negative
"yeh class itna bore karne wala nikla, expect nahi kiya tha.",negative
"Frankly yeh app was horrible, would not recommend.",negative
"Bro interview is pathetic, not worth it at all.",negative
"internship experience ka level bekar tha, sudhaar ki zarurat hai.",negative
"yeh phone bohot dhamakedaar nikla, sabko bata diya maine.",positive
"Honestly lecture was useless, very disappointed.",negative
"yeh video ka level third class tha, sudhaar ki zarurat hai.",negative
"yeh class dekh ke mood off ho gaya, bilkul bekaar experience.",negative
"is content bohot mast nikla, sabko bata diya maine.",positive
"Itna full paisa vasool is product ka review maine pehle nahi dekha, hats off!",positive
Hostel ka room next week schedule hai.,neutral
"Bro team ka performance is absolutely incredible, loved it!",positive
Tumhara channel ka duration 10 minute ka hai.,neutral
"college ka event ka level bekar tha, sudhaar ki zarurat hai.",negative
Internship experience ka format change hua hai.,neutral
"naya song dekh ke mood off ho gaya, ganda experience.",negative
Yeh vlog ka second part bhi available hai.,neutral
Internship experience 3 baje start hoga.,neutral
Yeh series ka second part bhi available hai.,neutral
"Bro naya project is absolutely awesome, loved it!",positive
"Yaar is product ka review bilkul third class tha, time hi waste hua.",negative
Yeh trailer group mein share kiya gaya.,neutral
"woh episode itna third class nikla, expect nahi kiya tha.",negative
Naya update next week schedule hai.,neutral
Kal ka match 3 baje start hoga.,neutral
"Frankly uska gaana was disappointing, would not recommend.",negative
Team ka performance group mein share kiya gaya.,neutral
"Honestly naya song was brilliant, highly recommend.",positive
Yeh phone abhi process ho raha hai.,neutral
"Honestly training session was horrible, very disappointed.",negative
"tumhara channel se bilkul bhi satisfied nahi hoon, bilkul bekaar tha.",negative
"Itna kamaal yeh video maine pehle nahi dekha, hats off!",positive
"exam paper bohot full paisa vasool nikla, sabko bata diya maine.",positive
"What a awful tumhara channel, complete waste of time.",negative
"Frankly lecture was horrible, would not recommend.",negative
Yeh trailer ke baare mein notification aaya.,neutral
Yeh phone ka format change hua hai.,neutral
Uska gaana ka link description mein hai.,neutral
Hostel ka room office ke system pe save hai.,neutral
Team ka performance ka second part bhi available hai.,neutral
"Honestly yeh class was fantastic, highly recommend.",positive
"Thoroughly enjoyed presentation, amazing effort by everyone.",positive
"training session ne expectations cross kar diye, ekdum next level!",positive
Yeh app ka second part bhi available hai.,neutral
Naya update abhi process ho raha hai.,neutral
"Frankly yeh series was boring, would not recommend.",negative
"Bro naya update is horrible, not worth it at all.",negative
Uska gaana office ke system pe save hai.,neutral
Is content kal release hua tha.,neutral
Is product ka review ke baare mein notification aaya.,neutral
Hostel ka room aaj subah upload hua.,neutral
"hostel ka room bohot bekar laga mujhe, na dekho bekar mein.",negative
"Honestly hostel ka room was superb, highly recommend.",positive
"Frankly exam paper was pathetic, would not recommend.",negative
"lecture ne expectations cross kar diye, ekdum bohot accha!",positive
Exam paper group mein share kiya gaya.,neutral
"Yaar woh episode bilkul third class tha, time hi waste hua.",negative
"What a useless uska gaana, complete waste of time.",negative
"yeh series bohot third class laga mujhe, na dekho bekar mein.",negative
"Honestly tera reel was top notch, highly recommend.",positive
Yeh tutorial ka second part bhi available hai.,neutral
Woh episode aaj subah upload hua.,neutral
"interview bohot bekar laga mujhe, na dekho bekar mein.",negative
Woh episode abhi process ho raha hai.,neutral
"naya project ne expectations cross kar diye, ekdum ekdum sahi!",positive
"uska gaana ne expectations cross kar diye, ekdum badhiya!",positive
"Itna dhamakedaar naya project maine pehle nahi dekha, hats off!",positive
"kal ka match se bilkul bhi satisfied nahi hoon, bilkul bekaar tha.",negative
Yeh movie ka duration 10 minute ka hai.,neutral
"Frankly is product ka review was horrible, would not recommend.",negative
Yeh tutorial 3 baje start hoga.,neutral
"naya song dekh ke bohot khushi hui, total ekdum sahi!",positive
"Bro yeh movie is disappointing, not worth it at all.",negative
"What a pathetic is content, complete waste of time.",negative
"tumhara channel ne expectations cross kar diye, ekdum full paisa vasool!",positive
"Yaar training session bohot accha hai, dil khush ho gaya!",positive
"Honestly is restaurant ka khana was frustrating, very disappointed.",negative
"Bro internship experience is useless, not worth it at all.",negative
Yeh class ka second part bhi available hai.,neutral
"team ka performance bohot bore karne wala laga mujhe, na dekho bekar mein.",negative
"Honestly yeh assignment was brilliant, highly recommend.",positive
"Yaar training session bilkul time waste tha, time hi waste hua.",negative
"What a superb tumhara channel, proud feeling aa raha hai.",positive
"internship experience dekh ke bohot khushi hui, total full paisa vasool!",positive
"yeh series bohot mast nikla, sabko bata diya maine.",positive
"Itna zabardast kal ka match maine pehle nahi dekha, hats off!",positive
"yeh vlog dekh ke bohot khushi hui, total zabardast!",positive
"Honestly team ka performance was awful, very disappointed.",negative
Hostel ka room ka duration 10 minute ka hai.,neutral
"is content itna ekdum bura nikla, expect nahi kiya tha.",negative
"Honestly yeh tutorial was frustrating, very disappointed.",negative
"What a disappointing uska gaana, complete waste of time.",negative
Yeh phone 3 baje start hoga.,neutral
Interview aaj subah upload hua.,neutral
"What a superb yeh trailer, proud feeling aa raha hai.",positive
"yeh app itna bore karne wala nikla, expect nahi kiya tha.",negative
Yeh series group mein share kiya gaya.,neutral
Is product ka review group mein share kiya gaya.,neutral
"What a superb naya update, proud feeling aa raha hai.",positive
Lecture ka second part bhi available hai.,neutral
"naya song ka content full badhiya tha, mast laga!",positive
Naya song ka format change hua hai.,neutral
"Honestly yeh trailer was boring, very disappointed.",negative
"Thoroughly enjoyed training session, brilliant effort by everyone.",positive
Is restaurant ka khana kal release hua tha.,neutral
"is restaurant ka khana bohot ekdum bura laga mujhe, na dekho bekar mein.",negative
"internship experience bohot mast nikla, sabko bata diya maine.",positive
Woh episode ka link description mein hai.,neutral
"Yaar college ka event bohot accha hai, dil khush ho gaya!",positive
"internship experience bohot full paisa vasool nikla, sabko bata diya maine.",positive
"Itna badhiya hostel ka room maine pehle nahi dekha, hats off!",positive
"Yaar yeh phone bohot accha hai, dil khush ho gaya!",positive
"Itna bohot accha woh episode maine pehle nahi dekha, hats off!",positive
"Yaar presentation badhiya hai, dil khush ho gaya!",positive
"Yaar lecture bilkul ekdum bura tha, time hi waste hua.",negative
"yeh video bohot bore karne wala laga mujhe, na dekho bekar mein.",negative
Yeh movie ka second part bhi available hai.,neutral
"Yaar interview bilkul time waste tha, time hi waste hua.",negative
"Honestly uska gaana was pathetic, very disappointed.",negative
"Itna badhiya exam paper maine pehle nahi dekha, hats off!",positive
Training session ke baare mein notification aaya.,neutral
"hostel ka room dekh ke mood off ho gaya, ganda experience.",negative
"Bro is restaurant ka khana is boring, not worth it at all.",negative
"yeh assignment se bilkul bhi satisfied nahi hoon, ganda tha.",negative
Lecture ka link description mein hai.,neutral
Lecture abhi process ho raha hai.,neutral
"Bro interview is underwhelming, not worth it at all.",negative
Tera reel next week schedule hai.,neutral
Naya project ke baare mein notification aaya.,neutral
"Yaar yeh vlog zabardast hai, dil khush ho gaya!",positive
"yeh assignment bohot dhamakedaar nikla, sabko bata diya maine.",positive
"tera reel itna third class nikla, expect nahi kiya tha.",negative
"training session dekh ke bohot khushi hui, total zabardast!",positive
"Bro is content is absolutely outstanding, loved it!",positive
"Itna ekdum sahi internship experience maine pehle nahi dekha, hats off!",positive
Yeh video office ke system pe save hai.,neutral
Naya update office ke system pe save hai.,neutral
"Bro uska gaana is awful, not worth it at all.",negative
"Frankly yeh tutorial was useless, would not recommend.",negative
"Bro lecture is absolutely fantastic, loved it!",positive
Yeh vlog abhi process ho raha hai.,neutral
"naya project bohot bakwaas laga mujhe, na dekho bekar mein.",negative
"team ka performance dekh ke bohot khushi hui, total next level!",positive
Yeh vlog aaj subah upload hua.,neutral
Naya song aaj subah upload hua.,neutral
"Yaar yeh vlog bilkul bekar tha, time hi waste hua.",negative
"naya update ka content full kamaal tha, mast laga!",positive
"Frankly exam paper was awful, would not recommend.",negative
"Yaar naya song bilkul bore karne wala tha, time hi waste hua.",negative
"yeh movie bohot bohot accha nikla, sabko bata diya maine.",positive
Naya song ke baare mein notification aaya.,neutral
Is content next week schedule hai.,neutral
"Bro yeh class is useless, not worth it at all.",negative
"naya song dekh ke bohot khushi hui, total full paisa vasool!",positive
"Itna bohot accha yeh vlog maine pehle nahi dekha, hats off!",positive
Interview kal release hua tha.,neutral
"What a superb kal ka match, proud feeling aa raha hai.",positive
"Thoroughly enjoyed yeh trailer, amazing effort by everyone.",positive
"kal ka match ka level third class tha, sudhaar ki zarurat hai.",negative
Woh episode ke baare mein notification aaya.,neutral
"Honestly yeh assignment was amazing, highly recommend.",positive
"yeh assignment dekh ke bohot khushi hui, total kamaal!",positive
Kal ka match office ke system pe save hai.,neutral
"Itna mast is content maine pehle nahi dekha, hats off!",positive
"hostel ka room se bilkul bhi satisfied nahi hoon, ganda tha.",negative
Naya project group mein share kiya gaya.,neutral
"Bro exam paper is horrible, not worth it at all.",negative
Yeh trailer aaj subah upload hua.,neutral
"naya song itna time waste nikla, expect nahi kiya tha.",negative
Team ka performance next week schedule hai.,neutral
"Honestly hostel ka room was awful, very disappointed.",negative
"team ka performance se bilkul bhi satisfied nahi hoon, time waste tha.",negative
"Bro internship experience is frustrating, not worth it at all.",negative
Yeh assignment group mein share kiya gaya.,neutral
"yeh class ne expectations cross kar diye, ekdum full paisa vasool!",positive
"What a horrible college ka event, complete waste of time.",negative
"Itna bohot accha naya song maine pehle nahi dekha, hats off!",positive
"Thoroughly enjoyed yeh assignment, outstanding effort by everyone.",positive
"tera reel ka level bakwaas tha, sudhaar ki zarurat hai.",negative
Hostel ka room ka second part bhi available hai.,neutral
Yeh video kal release hua tha.,neutral
"uska gaana bohot full paisa vasool nikla, sabko bata diya maine.",positive
"Bro yeh app is pathetic, not worth it at all.",negative
Tera reel 3 baje start hoga.,neutral
Team ka performance 3 baje start hoga.,neutral
"yeh video ka content full kamaal tha, mast laga!",positive
Interview ka format change hua hai.,neutral
"Honestly is content was pathetic, very disappointed.",negative
"tumhara channel ne expectations cross kar diye, ekdum dhamakedaar!",positive
"Itna dhamakedaar tera reel maine pehle nahi dekha, hats off!",positive
Kal ka match ke baare mein notification aaya.,neutral
"yeh series bohot time waste laga mujhe, na dekho bekar mein.",negative
Yeh video ka format change hua hai.,neutral
"What a terrible yeh series, complete waste of time.",negative
"tera reel itna bekar nikla, expect nahi kiya tha.",negative
"Honestly yeh app was incredible, highly recommend.",positive
"Frankly is product ka review was disappointing, would not recommend.",negative
"Thoroughly enjoyed is content, amazing effort by everyone.",positive
"is product ka review bohot bohot accha nikla, sabko bata diya maine.",positive
"presentation ne expectations cross kar diye, ekdum mast!",positive
"Thoroughly enjoyed yeh series, outstanding effort by everyone.",positive
"yeh vlog dekh ke bohot khushi hui, total ekdum sahi!",positive
Naya song kal release hua tha.,neutral
Yeh app group mein share kiya gaya.,neutral
Tumhara channel ke baare mein notification aaya.,neutral
Yeh class ke baare mein notification aaya.,neutral
"Bro is product ka review is absolutely brilliant, loved it!",positive
Yeh movie 3 baje start hoga.,neutral
"internship experience bohot faltu laga mujhe, na dekho bekar mein.",negative
"Bro training session is absolutely superb, loved it!",positive
"Bro woh episode is absolutely incredible, loved it!",positive
Uska gaana abhi process ho raha hai.,neutral
"What a useless woh episode, complete waste of time.",negative
Yeh movie ke baare mein notification aaya.,neutral
Naya update aaj subah upload hua.,neutral
"lecture dekh ke bohot khushi hui, total bohot accha!",positive
"Itna bohot accha naya project maine pehle nahi dekha, hats off!",positive
Training session ka duration 10 minute ka hai.,neutral
"yeh series bohot kamaal nikla, sabko bata diya maine.",positive
"Frankly yeh class was underwhelming, would not recommend.",negative
"What a top notch yeh app, proud feeling aa raha hai.",positive
"yeh video ne expectations cross kar diye, ekdum mast!",positive
"Honestly interview was awful, very disappointed.",negative
"Itna zabardast yeh vlog maine pehle nahi dekha, hats off!",positive
"What a boring exam paper, complete waste of time.",negative
"Yaar yeh tutorial ekdum sahi hai, dil khush ho gaya!",positive
"Frankly is product ka review was awful, would not recommend.",negative
Presentation abhi process ho raha hai.,neutral
"Bro yeh series is awful, not worth it at all.",negative
"What a terrible woh episode, complete waste of time.",negative
"Thoroughly enjoyed hostel ka room, perfect effort by everyone.",positive
Is restaurant ka khana 3 baje start hoga.,neutral
"yeh series se bilkul bhi satisfied nahi hoon, bilkul bekaar tha.",negative
"Itna badhiya is content maine pehle nahi dekha, hats off!",positive
Interview ka duration 10 minute ka hai.,neutral
Is restaurant ka khana abhi process ho raha hai.,neutral
Tera reel group mein share kiya gaya.,neutral
"yeh trailer se bilkul bhi satisfied nahi hoon, third class tha.",negative
Yeh app aaj subah upload hua.,neutral
"Bro yeh trailer is terrible, not worth it at all.",negative
"Yaar yeh video next level hai, dil khush ho gaya!",positive
"naya project se bilkul bhi satisfied nahi hoon, ganda tha.",negative
Yeh video aaj subah upload hua.,neutral
"What a fantastic yeh movie, proud feeling aa raha hai.",positive
Tumhara channel aaj subah upload hua.,neutral
"Bro exam paper is awful, not worth it at all.",negative
Naya update kal release hua tha.,neutral
"is product ka review ka content full kamaal tha, mast laga!",positive
"Bro yeh app is terrible, not worth it at all.",negative
"yeh app bohot bekar laga mujhe, na dekho bekar mein.",negative
Yeh app ka format change hua hai.,neutral
"yeh video bohot bakwaas laga mujhe, na dekho bekar mein.",negative
"naya song bohot bakwaas laga mujhe, na dekho bekar mein.",negative
"yeh app se bilkul bhi satisfied nahi hoon, bekar tha.",negative
"Thoroughly enjoyed yeh phone, perfect effort by everyone.",positive
"lecture ka content full bohot accha tha, mast laga!",positive
"What a boring is restaurant ka khana, complete waste of time.",negative
"interview bohot ekdum bura laga mujhe, na dekho bekar mein.",negative
